event,gender,place,athlete,year,team,result,converted,meet,meet_date
5000 Meters,m,2,"Lalang, Lawi",,Arizona,13:18.88,False,54th Annual Mt. SAC Relays,2012-04-19
5000 Meters,m,3,"Chelimo, Paul",,UNC-Greensboro,13:21.89,False,Payton Jordan Cardinal Invitational,2012-04-29
5000 Meters,m,4,"Sambu, Stephen",SR-4,Arizona,13:31.51,False,Stanford Invitational,2012-04-06
5000 Meters,m,5,"Hill, Ryan",,North Carolina St.,13:33.23,False,Payton Jordan Cardinal Invitational,2012-04-29
5000 Meters,f,1,"Tebo, Jessica",SR-4,Colorado,15:19.43,False,Payton Jordan Cardinal Invitational,2012-04-29
5000 Meters,f,2,"D'Agostino, Abbey",SO-2,Dartmouth,15:23.35,False,54th Annual Mt. SAC Relays,2012-04-19
5000 Meters,f,3,"Van Dalen, Lucy",SR-4,Stony Brook,15:23.54,False,54th Annual Mt. SAC Relays,2012-04-19
5000 Meters,f,4,"Reid, Sheila",SR-4,Villanova,15:23.64,False,54th Annual Mt. SAC Relays,2012-04-19
5000 Meters,f,5,"Tuliamuk-Bolton, Aliphine",,Wichita State,15:26.07,False,54th Annual Mt. SAC Relays,2012-04-19
"10,000 Meters",m,1,"Levins, Cameron",SR-4,Southern Utah,27:27.96,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",m,2,"Derrick, Chris",SR-4,Stanford,27:31.38,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",m,3,"Ahmed, Mohammed",,Wisconsin,27:34.64,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",m,4,"Sambu, Stephen",SR-4,Arizona,28:06.16,False,54th Annual Mt. SAC Relays,2012-04-19
"10,000 Meters",m,5,"Mead, Hassan",SR-4,Minnesota,28:12.74,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",f,1,"Maier, Deborah",JR-3,California,32:12.47,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",f,2,"Nelson, Meaghan",SR,Iowa State,32:14.27,False,Payton Jordan Cardinal Invitational,2012-04-29
"10,000 Meters",f,3,"Waldron, Sarah",SR-4,New Mexico,32:36.07,False,Stanford Invitational,2012-04-06
"10,000 Meters",f,4,"Tuliamuk-Bolton, Aliphine",,Wichita State,32:39.35,False,Stanford Invitational,2012-04-06
"10,000 Meters",f,5,"Wade, Becky",SR,Rice,32:40.82,False,Stanford Invitational,2012-04-06
100 Hurdles,f,1,"Manning, Christina",SR-4,Ohio State,12.57,False,UF Tom Jones Invitational,2012-04-21
100 Hurdles,f,2,"Rollins, Brianna",SO-2,Clemson,12.78,False,2012 Jim Click Shootout,2012-03-31
100 Hurdles,f,3,"Owens, Bridgette",SO-2,Clemson,12.83,False,ACC Outdoor Track & Field Championships,2012-04-19
100 Hurdles,f,4,"Flemings, Donique'",JR-3,Texas A&M,12.87,False,Big 12 Outdoor Track & Field Championships,2012-05-11
100 Hurdles,f,5,"Stowers, Jasmin",SO-2,LSU,12.92,False,LSU Alumni Gold,2012-04-21
110 Hurdles,m,1,"Riley, Andrew",SR-4,Illinois,13.28,False,John McDonnell Invitational,2012-04-20
110 Hurdles,m,2,"Hill, Devon",SR-4,Miami,13.35,False,ACC Outdoor Track & Field Championships,2012-04-19
110 Hurdles,m,3,"Nugent, Barrett",SR-4,LSU,13.37,False,2012 Clyde Littlefield Texas Relays,2012-03-28
110 Hurdles,m,3,"Davis II, Wayne",JR-3,Texas A&M,13.37,False,Big 12 Outdoor Track & Field Championships,2012-05-11
110 Hurdles,m,5,"Adams, Spencer",JR-3,Clemson,13.39,False,ACC Outdoor Track & Field Championships,2012-04-19
400 Hurdles,m,1,"Morton, Amaechi",SR-4,Stanford,48.95,False,Pac-12 Championships,2012-05-12
400 Hurdles,m,2,"Ukaoma, Miles",,Nebraska,49.23,False,Big Ten Outdoor Championship 2012,2012-05-11
400 Hurdles,m,3,"Arastu, Ali",,Michigan,49.43,False,Big Ten Outdoor Championship 2012,2012-05-11
400 Hurdles,m,4,"Stigler, Michael",FR-1,Kansas,49.45,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Hurdles,m,5,"Mason, Jamele",SR-4,Texas Tech,49.60,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Hurdles,f,1,"Moline, Georganne",JR-3,Arizona,55.12,False,Pac-12 Championships,2012-05-12
400 Hurdles,f,2,"Wortham, Ellen",SR-4,Tennessee,55.55,False,SEC Outdoor Track & Field Championship,2012-05-10
400 Hurdles,f,3,"Dowie, Danielle",SO-2,Texas,56.10,False,Big 12 Outdoor Track & Field Championships,2012-05-11
400 Hurdles,f,4,"Thompson, Turquoise",,UCLA,56.26,False,Pac-12 Championships,2012-05-12
400 Hurdles,f,5,"Elahi, Kianna",SR-4,Iowa State,56.41,False,Big 12 Outdoor Track & Field Championships,2012-05-11
3000 Steeplechase,m,1,"Forys, Craig",SR-4,Michigan,8:28.90,False,Big Ten Outdoor Championship 2012,2012-05-11
3000 Steeplechase,m,2,"Leslie, Cory",SR-4,Ohio State,8:32.48,False,Big Ten Outdoor Championship 2012,2012-05-11
3000 Steeplechase,m,3,"Poore, Andrew",SR-4,Indiana,8:35.77,False,Big Ten Outdoor Championship 2012,2012-05-11
3000 Steeplechase,m,4,"Turner, De'Sean",SR-4,Indiana,8:36.39,False,Big Ten Outdoor Championship 2012,2012-05-11
3000 Steeplechase,m,5,"Brill, Alexander",SO-2,Wisconsin,8:37.62,False,Big Ten Outdoor Championship 2012,2012-05-11
3000 Steeplechase,f,1,"Kipp, Shalaya",JR-3,Colorado,9:43.09,False,Payton Jordan Cardinal Invitational,2012-04-29
3000 Steeplechase,f,2,"Praught, Aisha",SR-4,Illinois State,9:51.30,False,54th Annual Mt. SAC Relays,2012-04-19
3000 Steeplechase,f,3,"Stowe, Rebeka",SR-4,Kansas,9:52.82,False,Payton Jordan Cardinal Invitational,2012-04-29
3000 Steeplechase,f,4,"Kulik, Alyssa",SR-4,Clemson,9:52.90,False,ACC Outdoor Track & Field Championships,2012-04-19
3000 Steeplechase,f,5,"Henry, Amber",JR-3,Weber State,9:53.94,False,Payton Jordan Cardinal Invitational,2012-04-29
High Jump,m,1,"Robertson, Ricky",,Mississippi,2.32m,False,2012 Pepsi Florida Relays (College/Open),2012-04-06
High Jump,m,2,"Drouin, Derek",SR,Indiana,2.31m,False,Big Ten Outdoor Championship 2012,2012-05-11
High Jump,m,3,"Rivera-Morales, Edgar",JR-3,Arizona,2.25m,False,2012 Jim Click Shootout,2012-03-31
High Jump,m,3,"Ross, Nick",JR-3,Arizona,2.25m,False,54th Annual Mt. SAC Relays,2012-04-19
High Jump,m,3,"Barbiasz, Dwight",JR-3,Florida,2.25m,False,SEC Outdoor Track & Field Championship,2012-05-10
High Jump,f,1,"Barrett, Brigetta",JR-3,Arizona,1.95m,False,Stanford Invitational,2012-04-06
High Jump,f,2,"Butts, Tynita",,East Carolina,1.87m,False,2012 Pepsi Florida Relays (College/Open),2012-04-06
High Jump,f,2,"Barwise, Allison",JR-3,Boston U.,1.87m,False,IC4A/ECAC Outdoor Track & Field Championships,2012-05-11
High Jump,f,4,"Briscoe, Shanay",SO-2,Texas,1.86m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
High Jump,f,4,"Young, Toni",SO-2,Oklahoma State,1.86m,False,Big 12 Outdoor Track & Field Championships,2012-05-11
High Jump,f,4,"Kinsella, Michelle",,Louisville,1.86m,False,BIG EAST Outdoor Track & Field Championships,2012-05-04
Pole Vault,m,1,"Irwin, Andrew",FR-1,Arkansas,5.72m,False,SEC Outdoor Track & Field Championship,2012-05-10
Pole Vault,m,2,"Woepse, Michael",,UCLA,5.55m,False,UCLA vs Texas,2012-03-24
